citation,topic,habitat_type,community_type,ecosystem_characteric,species_name_common,species_name_scientific,marine_ecoregion,climate_effect,effect_likely,effect_demonstrated,mpa_effect,mechanism,mpa effect size,recommended_mpa_action,analytical method,was this study conducted in an MPA?,name of mpa
"Smith, J. G., Free, C. M., Lopazanski, C., Brun, J., Anderson, C. R., Carr, M. H., ... & Caselle, J. E. (2023). A marine protected area network does not confer community structure resilience to a marine heatwave across coastal ecosystems. Global Change Biology.",habitat,deep reef ,fish,community structure,na,na,temperate_northern_pacific,range_shift,na,no,no_effect,community shifted during heatwave -- increase in cosmopolitan and warm-temperature species -- and changes persisted after the heatwave ended,no effect,more study on ecosystem-wise consquences of climate shocks and what management can do,observational,yes,CA Central Coast MPAs
"Toth, L. T., Van Woesik, R., Murdoch, T. J. T., Smith, S. R., Ogden, J. C., Precht, W. F., & Aronson, R. B. (2014). Do no-take reserves benefit Florida’s corals? 14 years of change and stasis in the Florida Keys National Marine Sanctuary. Coral Reefs, 33, 565-577.",habitat,coral reef,na,coral cover; macroalgal cover,na,na,tropical_atlantic,habitat_availability; disease; ,na,no,no_effect,"reserves stop fishing and therefor protecte the fish, but have no demonstrated effect on the coral. Orbicella (formerly Montastraea) annularis showed significant decline, no other species showed significant change. There was no difference in macroalgal cover between protected and fished sites, indicating that there was also no change in herbivory (though they did not measure fish). protection was established after reefs were already highly degraded",no effect,need different management methods to protect corals,observational,yes,Florida Keys National Marine Sanctuary
"Weijerman, M., Veazey, L., Yee, S., Vaché, K., Delevaux, J. M., Donovan, M. K., ... & Oleson, K. L. (2018). Managing local stressors for coral reef condition and ecosystem services delivery under climate scenarios. Frontiers in Marine Science, 5, 425.",habitat,coral reef,,,na,na,eastern_indo_pacific,habitat_availability; nutrition,no,na,no_effect,,,,predictive/theoretical model,yes, modeled in Hawai'i
"Widmann, M., Kato, A., Raymond, B., Angelier, F., Arthur, B., Chastel, O., Pellé, M., Raclot, T., & Ropert-Coudert, Y. (2015). Habitat use and sex-specific foraging behaviour of Adélie penguins throughout the breeding season in Adélie Land, East Antarctica. Movement Ecology, 3(1), 30. https://doi.org/10.1186/s40462-015-0052-7",species,na,na,na,adélie penguin,Pygoscelis adeliae,southern_ocean,"habitat_availability, reproduction, nutrition, range_shift",no,na,no_effect,"the planned MPA expansion would protect penguin foraging area during normal years with average sea-ice extent, but not in abnormal years where the sea-ice edge is further away from their breeding grounds ",na,"""support the establishment of the propsed D'Urvile Sea-Mertz MPA""",observational,no,(planned) Southern Ocean MPA
"Wilson, S. K., Graham, N. A., Fisher, R., Robinson, J., Nash, K., Chong‐Seng, K., ... & Quatre, R. (2012). Effect of macroalgal expansion and marine protected areas on coral recovery following a climatic disturbance. Conservation Biology, 26(6), 995-1004.",habitat,coral reef,fringing reefs on islands,herbivorous fish biomass; substrate type; postdisturbance coral cover; change in macroalgal cover with coral recovery,na,na,western_indo_pacific,habitat_availability,no,yes,effect_b,MPA effective *only* if macroalgae hasn't already taken over,tbd,designate climate refugia as MPAs,observational,yes,Seychelle Islands
"Zentner, Y., Margarit, N., Ortega, J., Casals, D., Medrano, A., Pagès-Escolà, M., ... & Linares, C. (2023). Marine protected areas in a changing ocean: Adaptive management can mitigate the synergistic effects of local and climate change impacts. Biological Conservation, 282, 110048.",species,na,na,density; biomass; mean_height,red gorgonian coral,Paramuricea clavata,temperate_northern_atlantic,habitat_availability,yes,yes,effect_b,"local stressors (in this case, injury and detachment) combined with heat waves exacerbate mortality events following heat waves",tbd,decrease diver frequency,predictive/theoretical model; observational,yes,Medes Islands Marine Reserve
"Ziegler, S. L., Johnson, J. M., Brooks, R. O., Johnston, E. M., Mohay, J. L., Ruttenberg, B. I., ... & Hamilton, S. L. (2023). Marine protected areas, marine heatwaves, and the resilience of nearshore fish communities. Scientific Reports, 13(1), 1405.",habitat,rocky reef,fish,"trophic_diversity; taxonomic_diversity; species richness, pielou’s_evenness; Shannon–Wiener_diversity",na,na,temperate_northern_pacific,habitat_availability,na,yes,effect_b,"""Specifically, we observed that marine reserves were more resistant to functional changes and taxonomic diversity recovered more rapidly from the MHW than in references areas open to fishing.""","""taxonomic diversity recovered 75% faster in the MPAs compared to reference sites.""",more research,observational,yes,Año Nuevo; Point Lobos; Piedras Blancas; Point Buchon
"Darling, E. S., McClanahan, T. R., & Côté, I. M. (2010). Combined effects of two stressors on Kenyan coral reefs are additive or antagonistic, not synergistic. Conservation Letters, 3(2), 122-130.",habitat,coral reef,na,coral cover,na,na,western_indo_pacific,habitat_availability,na,no,no_effect,"coral bleaching is the dominant driver of coral loss, not fishing, and the threats do not interact synergistically",tbd,place reserves in places not vulnerable to thermal stress ,observational,yes,Malindi Marine National Park; Mombasa Marine National Park
"Mumby, P. J., Wolff, N. H., Bozec, Y. M., Chollett, I., & Halloran, P. (2014). Operationalizing the resilience of coral reefs in an era of climate change. Conservation Letters, 7(3), 176-187.",habitat,coral reef,na,resilience (measured as a the chance to achieve recovery post-disturbance); coral cover,na,na,tropical_atlantic,habitat_availability,yes,na,effect_b,herbivory by parrotfish decreased algal cover and improved resilience,"Under business-as-usual by 2030, MPA takes 2x longer than fished area to drop to 10% coral cover threshold. By 2080, it takes 3x longer. Protection did better at maintaining resilience, where MPAs were 6x more resilient than fished areas",need to combine local and global climate action,predictive/theoretical model,yes,Belize Barrier Reef System; Glovers Reef Marine Reserve
"Peters, J. R., Reed, D. C., & Burkepile, D. E. (2019). Climate and fishing drive regime shifts in consumer‐mediated nutrient cycling in kelp forests. Global Change Biology, 25(9), 3179-3192.",habitat,kelp forest,benthic macroinvertebrates,areal nitrogen excretion,na,na,temperate_northern_pacific,nutrition,na,no,no_effect,shifts in community structure decreased excreted ammonioum from reef macroinvertebrates by 80%,na,establish MPAs,observational,yes,"Santa Barbara Channel, CA"
"Peters, J. R., Reed, D. C., & Burkepile, D. E. (2019). Climate and fishing drive regime shifts in consumer‐mediated nutrient cycling in kelp forests. Global Change Biology, 25(9), 3179-3192.",habitat,kelp forest,benthic macroinvertebrates,population size structure,lobster,na,temperate_northern_pacific,nutrition,na,yes,effect_b,larger lobsters in MPA,na,establish MPAs,observational,yes,"Santa Barbara Channel, CA"
"Williamson, D. H., Ceccarelli, D. M., Evans, R. D., Jones, G. P., & Russ, G. R. (2014). Habitat dynamics, marine reserve status, and the decline and recovery of coral reef fish communities. Ecology and Evolution, 4(4), 337-354.",habitat,coral reef,fish; benthic,fish abundance; fish diversity; fish assemblage structure; coral cover; coral habitat complexity,coral trout,Plectropomus spp.,central_indo_pacific,habitat_availability; nutrition,na,no,no_effect,na,na,emissions reduction; water quality improvement; MPAs as refuge,observational,yes,"Keppel Island group, Great Barrier Reef"
